Generation Min Max Average Stddeviation
1 151776.0 161652.0 157581.84 1987.584577924402
2 151462.0 163430.0 157227.43 2350.497263368183
3 151462.0 161974.0 156632.52 2133.220839389302
4 149910.0 163676.0 156141.87 2199.333552033671
5 149813.0 162086.0 156167.72 2473.7745050019403
6 146833.0 161248.0 155317.19 2680.599946634767
7 146833.0 161012.0 154728.41 2704.397974022579
8 146944.0 161317.0 154114.52 2828.707957637613
9 146944.0 161781.0 153067.76 2664.9957040111562
10 146938.0 158961.0 151469.52 2335.1661845795647
11 146017.0 154988.0 150400.52 1980.7260056861962
12 146017.0 154902.0 149466.15 1889.9442551308991
13 145862.0 154169.0 148729.78 1770.3700606370082
14 144376.0 152901.0 148329.39 1636.5915122280455
15 144053.0 153416.0 148003.95 1850.11614973066
16 144584.0 152727.0 147684.48 1781.5295646145744
17 143307.0 152180.0 147197.37 1892.2580725424214
18 142012.0 155092.0 146706.86 2077.1080955023644
19 142095.0 153171.0 146534.34 2237.1478637764912
20 140982.0 151093.0 145685.14 1856.6377946164553
21 141240.0 153740.0 145170.01 1953.0224038385543
22 141272.0 151648.0 144759.59 1816.5133255507324
23 141275.0 150165.0 144396.61 2037.6436974863598
24 140447.0 148448.0 143979.9 1961.256497759294
25 140663.0 149309.0 143533.63 2010.354966939343
26 140306.0 149104.0 143405.51 2043.1549549398285
27 139890.0 149521.0 143311.96 2192.5784543318905
28 139677.0 148443.0 142769.41 1857.3875637305996
29 139130.0 149370.0 142752.24 2113.8810615554153
30 139001.0 149210.0 142124.5 1891.9432364632626
31 139111.0 151570.0 142059.15 2120.015831898108
32 138603.0 147265.0 141623.3 1942.895064074063
33 138603.0 148970.0 141338.23 2106.822099062383
34 137900.0 147269.0 141042.33 2099.204397171637
35 137107.0 146216.0 140781.12 1787.0355468207372
36 137247.0 146948.0 140288.15 2006.3601141133752
37 137235.0 145764.0 140534.7 2247.062204300411
38 137506.0 146302.0 140343.24 2050.0716578701577
39 137240.0 146295.0 139964.62 2091.4127463512395
40 136973.0 145593.0 139591.73 1912.9861204667798
41 136754.0 145070.0 139174.02 1659.861391684084
42 136664.0 145258.0 139336.36 1926.3812162717197
43 136754.0 146671.0 139186.4 1970.1427105667337
44 136830.0 145937.0 139233.61 2027.8753408194111
45 136684.0 145590.0 138870.58 1856.9742549648183
46 135858.0 147020.0 138682.72 2172.486690776342
47 135858.0 145365.0 138514.6 2031.584150361448
48 135585.0 147604.0 138523.33 2276.805455260567
49 135210.0 144826.0 138067.74 2174.784585287687
50 135034.0 143367.0 137763.2 2059.1652046400145
51 134319.0 142817.0 137192.12 1690.7444235012986
52 133924.0 145006.0 137032.62 2229.4261942485336
53 134020.0 143123.0 136793.13 2026.5009728840437
54 133761.0 143701.0 136481.14 2120.4060461138015
55 133622.0 141882.0 136023.77 2051.8323316252754
56 133317.0 144113.0 136005.69 2405.3726975036902
57 133130.0 142227.0 135789.98 2199.2238948313834
58 133589.0 142172.0 135585.52 1914.552007547108
59 133123.0 141576.0 135367.07 1932.550647485451
60 133222.0 142305.0 135314.69 2070.4102187488934
61 133071.0 141624.0 135080.8 2054.942237632509
62 132802.0 141613.0 134936.83 2318.70240460103
63 132769.0 142200.0 134753.45 2273.8144619771956
64 132830.0 140016.0 134456.65 2188.578604368354
65 132584.0 142140.0 134126.15 2095.3882617554664
66 132485.0 140943.0 134035.13 2142.256126866932
67 132485.0 141821.0 134231.92 2303.8086321559663
68 132455.0 143908.0 134284.78 2545.7537649194815
69 132401.0 142670.0 134412.88 2656.6360431187286
70 132373.0 139676.0 133860.1 2198.2009303059663
71 132306.0 142527.0 133754.95 2365.9111960296555
72 132280.0 142407.0 133828.58 2435.4194266293575
73 132222.0 141003.0 133397.26 2113.3914905657643
74 132212.0 139642.0 133294.01 1913.8302928672629
75 132210.0 140729.0 133425.75 1982.952568141952
76 132206.0 142202.0 133933.15 2652.3759287674293
77 131212.0 140277.0 133399.92 2141.2129771686846
78 131425.0 141634.0 133299.49 2093.194828462217
79 131214.0 139910.0 133827.19 2617.3019837039446
80 131452.0 141342.0 133349.76 2303.9004237161143
81 131401.0 141924.0 133548.51 2610.548411712628
82 131097.0 139902.0 133170.49 2331.2626814452815
83 130775.0 140739.0 132871.39 2219.2057898929606
84 130718.0 141438.0 132802.99 2348.114160321305
85 130367.0 138690.0 132611.98 2331.7083950615206
86 130367.0 140689.0 132475.68 2477.1432937159857
87 130396.0 140074.0 132263.52 2405.5521257295695
88 130396.0 138226.0 132131.37 2284.353723287582
89 130367.0 141496.0 132219.07 2586.0430516718197
90 130366.0 138782.0 131882.49 2168.368845446176
91 130278.0 136890.0 131397.95 1928.0498716306893
92 130279.0 140186.0 132117.36 2796.050587955044
93 130272.0 139290.0 131714.8 2596.6138835036027
94 130271.0 139101.0 131074.37 1878.0886755158936
95 130047.0 139697.0 132281.54 2760.6728615313223
96 130047.0 138851.0 131929.41 2586.4322264268912
97 129714.0 139288.0 131418.5 2246.621056163716
98 129714.0 138727.0 131641.29 2584.2956576015904
99 129714.0 139218.0 131472.05 2500.985967074335
100 129702.0 139343.0 131430.44 2742.228051493448
101 129702.0 135945.0 130508.33 1613.6028201202446
102 129702.0 138354.0 130738.27 2289.0924396143737
103 129702.0 140922.0 131260.32 2757.1753621408056
104 129702.0 138286.0 131039.6 2434.939584465861
105 129702.0 137791.0 130795.8 2164.4743518922355
106 129702.0 137741.0 130891.93 2280.4605510952942
107 129702.0 137977.0 131232.09 2447.6029461291355
108 129702.0 140410.0 131391.35 2827.365669222612
109 129702.0 138474.0 131296.74 2636.0390422756027
110 129494.0 138458.0 131275.92 2525.1354802457404
111 129702.0 136678.0 131299.01 2369.7552721528527
112 129539.0 137740.0 131144.24 2430.6550603497235
113 129539.0 137081.0 130989.23 2396.3277482642343
114 129196.0 142716.0 131147.23 2625.566300267152
115 129702.0 139983.0 130989.68 2493.318442879504
116 129702.0 139121.0 131212.82 2499.457366629367
117 129702.0 138713.0 130949.32 2433.6050742876287
118 129702.0 138168.0 130913.06 2387.8471090923153
119 129702.0 138648.0 131063.75 2650.3707830223443
120 129702.0 138697.0 131333.73 2743.939022117224
121 129702.0 137829.0 130763.48 2272.449592312442
122 129702.0 140190.0 131474.31 2697.8149183923742
123 129702.0 137424.0 131010.85 2334.2202568520715
124 129702.0 139493.0 131296.12 2697.7456339699247
125 129702.0 138323.0 130616.11 2046.5965889491958
126 129702.0 140907.0 131112.65 2500.3923267164073
127 129616.0 138672.0 131573.32 2607.8606131456263
128 129616.0 139283.0 131408.74 2705.7979215755654
129 129285.0 138451.0 131262.88 2783.5013787670637
130 129128.0 139849.0 131448.67 2591.9031504084523
131 129073.0 138810.0 131338.59 2763.767389253304
132 129045.0 139233.0 130866.95 2620.5383392539784
133 128940.0 138246.0 130586.13 2422.114756385178
134 128940.0 140268.0 130584.31 2613.213545407131
135 128806.0 140374.0 130759.43 2746.7071968271816
136 128806.0 138018.0 130775.47 2688.3292114435117
137 128806.0 138013.0 130973.05 2755.940835268213
138 128806.0 138644.0 130355.33 2574.0811488954387
139 128806.0 139084.0 130353.25 2584.201104306677
140 128806.0 139147.0 130807.36 2922.199337896006
141 128806.0 139011.0 129788.59 2245.086257118168
142 128806.0 137387.0 130194.58 2478.85413923436
143 128806.0 140047.0 130274.29 2631.57452220157
144 128806.0 137923.0 129943.89 2321.0283449152303
145 128806.0 138335.0 130732.35 2846.9551888815968
146 128806.0 139055.0 130266.25 2736.164280064464
147 128806.0 136945.0 129926.71 2200.451527732321
148 128806.0 137122.0 130238.07 2523.6296925456472
149 128806.0 142081.0 130329.55 2765.3460411852634
150 128806.0 138808.0 130610.29 2810.6837399289984
151 128806.0 137914.0 130491.79 2624.0660063917894
152 128806.0 137687.0 130680.57 2805.5413960761466
153 128806.0 138761.0 130473.33 2818.9043121573122
154 128783.0 140242.0 130268.02 2615.4860580012946
155 128749.0 137558.0 130370.88 2733.981025098353
156 128703.0 139453.0 130548.55 2718.5172075046594
157 128116.0 140080.0 130376.38 2666.212350057471
158 128116.0 137030.0 130250.52 2541.354058292215
159 127992.0 136888.0 129930.88 2390.0132187078743
160 127722.0 139708.0 130204.27 2700.576282406989
161 127516.0 136319.0 129794.8 2455.658135815969
162 127516.0 137413.0 129766.83 2719.07615581065
163 127450.0 138224.0 129955.68 2843.8589728752504
164 127450.0 138556.0 129083.87 2479.4310583479187
165 127450.0 135399.0 129199.84 2504.1113742005787
166 127437.0 139342.0 129283.14 2893.5802253265765
167 127437.0 136300.0 129280.78 2901.678161271488
168 127437.0 138238.0 128983.73 2731.3704613437576
169 127437.0 135661.0 128749.19 2407.653142356315
170 127437.0 138571.0 128914.68 2837.1564704123416
171 127437.0 136548.0 128984.38 2752.2869246496693
172 127437.0 137100.0 129166.28 2746.013802150219
173 127437.0 136722.0 129280.93 2932.8333067364943
174 127437.0 137463.0 128989.11 2719.371610850399
175 127437.0 137041.0 128467.44 2371.480243729656
176 127437.0 136070.0 129355.47 2743.9093733393147
177 127437.0 137290.0 129132.37 2747.6313750394947
178 127437.0 138024.0 129545.48 3046.174248069306
179 127437.0 135815.0 128958.97 2538.3513446922348
180 127437.0 136680.0 128804.1 2534.610236308383
181 127437.0 136517.0 129017.76 2586.8512447378885
182 127437.0 139923.0 129297.17 2963.5094838889286
183 127437.0 136616.0 129031.69 2759.3103475145163
184 127437.0 137808.0 129526.08 2935.5048243187853
185 127437.0 139550.0 128909.13 2786.355794420042
186 127437.0 138259.0 129042.27 2818.9479415375736
187 127437.0 135909.0 128963.86 2649.475906740891
188 127437.0 138484.0 129059.14 2873.271226389801
189 127437.0 137232.0 129101.61 3037.2649502305803
190 127437.0 138787.0 129269.62 2899.5498849995083
191 127212.0 134339.0 128601.37 2124.374456892985
192 126887.0 137490.0 128952.4 2804.3191544476504
193 126887.0 137693.0 128502.23 2452.618436916267
194 126887.0 137481.0 129314.4 3021.1680588806266
195 126869.0 138090.0 128872.2 2822.4264667126135
196 126869.0 137743.0 128769.2 2744.3880483634653
197 126869.0 136844.0 128929.25 2835.792102305782
198 126869.0 135034.0 128951.82 2700.1394422505236
199 126807.0 135768.0 128411.23 2562.924044348696
200 126749.0 134551.0 128040.58 2374.1067970078957
201 126749.0 135481.0 127983.67 2450.790101396156
202 126655.0 136988.0 128658.21 2990.571073540583
203 126607.0 136060.0 128508.33 2662.537151120817
204 126607.0 135525.0 128802.66 2855.7857560396637
205 126607.0 135359.0 128650.01 2873.9587905709395
206 126607.0 137282.0 128875.78 3123.2135424271246
207 126607.0 136147.0 128472.1 2875.6811453979612
208 126607.0 136133.0 128284.06 2782.1152413946024
209 126607.0 136564.0 128396.77 2968.2428029221387
210 126607.0 137628.0 128242.25 2917.6879523861417
211 126607.0 138299.0 128168.0 2764.5228195838927
212 126607.0 137876.0 128164.48 2782.4317439249453
213 126607.0 136120.0 128309.68 2903.497128912372
214 126607.0 136111.0 128517.45 2927.6442214691847
215 126607.0 139242.0 128588.16 3066.9270963620443
216 126607.0 136272.0 128637.3 3001.4966816573233
217 126607.0 135952.0 128085.91 2769.392684669307
218 126607.0 136878.0 127917.01 2602.180906451381
219 126607.0 137766.0 127868.13 2594.9586495932513
220 126607.0 136559.0 128098.43 2707.6340825713232
221 126607.0 137364.0 128048.27 2852.530907299489
222 126607.0 136837.0 127870.4 2317.9851078043835
223 126607.0 135709.0 128229.58 2895.3248632235623
224 126607.0 134943.0 127586.39 2239.8818267713123
225 126607.0 134534.0 128029.5 2614.3971064089596
226 126607.0 136803.0 128436.99 2877.6259711606813
227 126607.0 136098.0 128438.71 3041.4761886128663
228 126607.0 138032.0 128202.03 2958.577169705156
229 126607.0 136144.0 128399.21 2920.116300063798
230 126607.0 135172.0 128459.98 2814.7272940022335
231 126607.0 138031.0 128539.24 3229.929055319683
232 126607.0 136311.0 128591.54 2988.1579657712755
233 126607.0 138297.0 128646.98 3138.1810909507485
234 126607.0 137444.0 128782.23 3084.1240761520157
235 126607.0 137978.0 128464.96 2905.829499196013
236 126607.0 136369.0 128292.86 2772.2986456006724
237 126607.0 137705.0 128442.34 2998.9983001661553
238 126607.0 137435.0 128106.5 2872.021718232646
239 126607.0 136600.0 127998.91 2670.1227578331914
240 126607.0 135945.0 128438.6 2941.4712815186954
241 126607.0 138170.0 127810.71 2579.6418251179866
242 126607.0 135069.0 127690.32 2361.3011873960268
243 126607.0 136614.0 128056.52 2654.380422923542
244 126607.0 136836.0 128419.8 2975.247139314482
245 126607.0 139479.0 128582.79 2991.7719976464855
246 126534.0 134669.0 128227.23 2722.279713236864
247 126534.0 135789.0 127942.57 2425.0060670226194
248 126607.0 139669.0 127988.03 2761.308419771371
249 126607.0 140616.0 128634.21 3072.0693719212845
250 126607.0 135719.0 127861.58 2460.3542272606282
251 126607.0 134994.0 128316.44 2672.6301813754703
252 126607.0 137790.0 128383.64 2879.433807261714
253 126607.0 135404.0 128197.79 2624.9918753972343
254 126607.0 135263.0 127689.45 2348.9637731350476
255 126607.0 137585.0 128072.32 2891.0929555443545
256 126461.0 136564.0 128495.54 3046.3176013675834
257 126461.0 136502.0 128316.59 2865.1660304249012
258 126461.0 138901.0 128150.56 2800.047847162901
259 126461.0 134871.0 128050.69 2624.4939767314554
260 126461.0 136247.0 128133.34 2749.959855052618
261 126461.0 136652.0 128092.24 2945.6014194725594
262 126461.0 136110.0 128200.85 2765.0756712066272
263 126461.0 137936.0 127723.29 2600.553003863104
264 126461.0 136008.0 128000.6 2749.0145834462764
265 126461.0 135759.0 127667.83 2506.584321561839
266 126461.0 138293.0 128057.92 2834.421188461656
267 126045.0 136688.0 128361.26 2985.400172908144
268 125721.0 137734.0 127993.86 2818.824084684934
269 125721.0 137945.0 127816.6 2661.84658836649
270 125700.0 135680.0 128207.72 2688.700786922997
271 125700.0 138795.0 127893.59 3017.8624226266525
272 125700.0 135102.0 127913.5 3024.5664366978554
273 125305.0 136006.0 127618.04 2751.833995429556
274 125305.0 135480.0 127258.66 2760.5210349492913
275 125284.0 134684.0 127303.8 2780.0902827065784
276 125284.0 134824.0 127398.42 2825.4848935360164
277 125284.0 136444.0 127039.16 2602.7710030657026
278 125284.0 134935.0 126857.24 2559.109583898285
279 125284.0 138314.0 126805.16 2911.7645018782982
280 125284.0 135315.0 127103.14 2980.1943293014156
281 125284.0 135445.0 126693.45 2705.6882502423136
282 125284.0 136918.0 126824.13 2901.4758439627126
283 125284.0 135828.0 127027.66 2791.393588227607
284 125284.0 137196.0 126659.16 2693.4773573206076
285 125284.0 134461.0 127127.81 2913.224590363873
286 125284.0 136498.0 127062.72 3070.6957943759594
287 125284.0 137093.0 127643.79 3621.9291470017893
288 125284.0 136631.0 126962.22 2906.7977245760485
289 125284.0 133978.0 127299.23 2977.6151022423287
290 125284.0 135890.0 126667.29 2706.99899998193
291 125284.0 135416.0 126495.02 2601.5661743647656
292 125284.0 134601.0 127028.07 2804.1309072683703
293 125128.0 134718.0 126596.5 2642.8814067224357
294 125284.0 136083.0 127087.43 2964.9821492045357
295 124719.0 135145.0 126741.86 2694.4532581585368
296 124719.0 133376.0 126350.27 2242.3162839123784
297 124719.0 133931.0 126480.17 2545.748106372784
298 124719.0 134784.0 126606.22 2579.505156343101
299 124595.0 135888.0 126438.07 2747.6485483225943
300 124590.0 135965.0 126746.18 2952.2170021192555
301 124590.0 134551.0 126377.87 2973.7480681962693
302 124590.0 135102.0 126182.05 2818.1152473769953
303 124590.0 135765.0 126055.31 2714.8505988173783
304 124590.0 135552.0 126906.66 3288.7307771234764
305 124590.0 136326.0 126464.66 2981.8635053263974
306 124590.0 133708.0 126395.23 2873.49605830619
307 124590.0 134343.0 126107.69 2675.8406331279843
308 124590.0 133695.0 126091.68 2759.6801404514263
309 124590.0 134179.0 126292.63 2882.573317905331
310 124590.0 135913.0 126804.92 3329.3551107684398
311 124590.0 141292.0 126976.08 3599.3730083999912
312 124590.0 134964.0 126390.78 3032.4612959773276
313 124590.0 136718.0 126383.05 3033.041303295869
314 124590.0 135458.0 125497.94 2382.2938350251848
315 124590.0 133794.0 126403.96 2812.4362674375498
316 124590.0 136588.0 126571.52 3218.927708041858
317 124590.0 136718.0 125976.76 2644.9202941487774
318 124590.0 134882.0 126307.83 2993.3853679570934
319 124590.0 135414.0 126469.38 2997.353058216274
320 124590.0 135207.0 126549.01 3044.0731282119045
321 124502.0 136354.0 126579.23 3204.7181400400004
322 124502.0 133413.0 126381.77 2950.2064838072197
323 124502.0 135652.0 126584.46 2961.7885961692746
324 124502.0 135143.0 126498.64 3033.9117934443975
325 124502.0 135198.0 126540.25 2978.5554665809973
326 124502.0 134072.0 126520.21 2949.6611645914472
327 124502.0 134496.0 126554.62 3123.6665948211653
328 124502.0 134950.0 126303.59 2929.1211927642585
329 124502.0 133652.0 125965.11 2650.9326958449656
330 124502.0 134736.0 126335.55 3038.631857843125
331 124502.0 135792.0 125801.21 2573.5593573682636
332 124502.0 134660.0 126131.84 2911.7254634323494
333 124502.0 135190.0 126092.77 2940.843415943617
334 124502.0 135881.0 125775.48 2729.869467502565
335 124502.0 134195.0 126316.48 3047.010595583983
336 124502.0 138161.0 126400.38 3152.9378927594576
337 124502.0 134517.0 125944.8 2729.5308278162033
338 124502.0 132535.0 126107.71 2630.462226662451
339 124502.0 137252.0 126426.24 3231.4347157878865
340 124502.0 137119.0 125458.95 2386.7311971608447
341 124502.0 134012.0 126332.78 3019.0720414723523
342 124502.0 136958.0 125810.92 2756.439100288868
343 124502.0 132591.0 125795.79 2506.3543376591247
344 124502.0 135641.0 125967.68 3014.87525738664
345 124500.0 136603.0 125968.1 2796.9597119013283
346 124502.0 134752.0 126099.64 2828.322168777728
347 124502.0 133726.0 125575.48 2530.9620798428627
348 124502.0 134887.0 125873.82 2686.818130725788
349 124502.0 135910.0 126198.04 3026.455097701059
350 124502.0 133789.0 126322.56 2987.658806892188
351 124502.0 134482.0 126126.21 3011.8182425070677
352 124502.0 135354.0 126183.79 3084.6359503027197
353 124502.0 134696.0 125963.92 2959.9505491817044
354 124502.0 133970.0 125790.68 2670.154740385399
355 124502.0 133850.0 125729.0 2513.3822630072846
356 124502.0 134741.0 126136.67 2898.4822478498454
357 124502.0 134043.0 125984.03 2778.615887290224
358 124502.0 134304.0 126183.24 2902.5270648864152
359 124502.0 135231.0 125861.58 2780.9766024901883
360 124502.0 134152.0 126560.46 3052.633946020724
361 124502.0 133965.0 125697.94 2531.110708048742
362 124502.0 132943.0 126215.08 2850.5904219300196
363 124502.0 134100.0 126784.03 3131.2763322806486
364 124502.0 137200.0 126311.49 3073.14390321992
365 124502.0 132732.0 125869.34 2486.4133816407443
366 124502.0 135170.0 126042.65 2689.5241228703644
367 124502.0 134221.0 125950.89 2762.545467119229
368 124502.0 138334.0 126693.39 3523.6434776944607
369 124502.0 134162.0 126230.7 2975.6058458740163
370 124502.0 135005.0 126470.27 3179.371723642643
371 124502.0 134575.0 126268.87 2954.2888709638555
372 124502.0 134483.0 125786.51 2573.343597326497
373 124502.0 134121.0 126744.99 3187.9181843170463
374 124502.0 134159.0 126387.79 2916.143989226452
375 124502.0 133754.0 126701.06 3157.5111490540585
376 124502.0 135636.0 126835.5 3245.7479677265205
377 124502.0 136645.0 126393.88 2980.2643549857967
378 124502.0 135657.0 126831.42 3493.9352031198187
379 124502.0 134198.0 125749.22 2629.171769131658
380 124502.0 134011.0 126231.66 3027.2577796415194
381 124502.0 135385.0 126267.16 2878.566472117441
382 124502.0 133974.0 126255.47 2913.2199143044777
383 124502.0 135599.0 126121.15 2837.026828829949
384 124502.0 136225.0 126521.0 3100.6314485922317
385 124502.0 136732.0 125770.01 2675.6202178003446
386 124502.0 134494.0 126144.91 2884.3728195049935
387 124502.0 135203.0 126484.94 3036.2292364708524
388 124502.0 135105.0 126389.24 3074.1144614992395
389 124355.0 134934.0 126337.18 2972.2265707044394
390 124355.0 133392.0 125914.7 2577.914201442546
391 124355.0 136149.0 126050.34 2901.668282971342
392 124355.0 134389.0 125674.09 2539.967299376271
393 124355.0 134551.0 126409.19 2908.746931910649
394 124355.0 134626.0 126230.4 2825.4396578235637
395 124355.0 134701.0 126394.63 3157.8214251440913
396 124355.0 134343.0 126262.34 3069.817415482759
397 124355.0 139209.0 126169.74 3264.41776928142
398 124355.0 134133.0 126250.9 2935.65801993356
399 124249.0 134964.0 125919.11 2755.7124846215806
400 124249.0 136108.0 125648.41 2858.962924191169
401 123893.0 134050.0 125956.54 3060.694370302337
402 123893.0 133251.0 125547.2 2448.0097426278276
403 123893.0 138124.0 126281.82 3235.281429427578
404 123893.0 135423.0 126012.97 3165.653548495323
405 123893.0 135604.0 126346.74 3376.1697369056683
406 123835.0 133611.0 125691.69 2828.85053580054
407 123893.0 133852.0 126031.71 3064.8856138360406
408 123893.0 134333.0 125504.85 2676.8155198854083
409 123893.0 133931.0 125397.24 2690.6847943226817
410 123893.0 135462.0 125569.47 2951.7959158957606
411 123893.0 135047.0 125532.93 2945.37140019736
412 123893.0 135934.0 125779.67 3103.005079129101
413 123893.0 133835.0 125459.85 2902.5749374477696
414 123893.0 134348.0 125828.28 2992.468837197814
415 123893.0 136588.0 126081.69 3233.9267947652675
416 123732.0 138071.0 126161.58 3538.512063508912
417 123634.0 134058.0 125960.39 3133.4192757910187
418 123634.0 134443.0 125451.69 2991.277876410089
419 123634.0 133735.0 125659.54 3038.722374354347
420 123634.0 133985.0 125711.56 3230.7564139685855
421 123634.0 137135.0 126213.65 3417.9249534624287
422 123634.0 133813.0 126026.62 3224.9376824368437
423 123634.0 134017.0 125533.74 3018.420890531606
424 123634.0 133150.0 125414.07 2937.9637480914894
425 123634.0 134487.0 125304.32 2902.756207055465
426 123634.0 132233.0 124984.1 2688.975513090342
427 123634.0 132956.0 125276.08 2755.5532717766664
428 123632.0 134041.0 125225.13 3009.1685451465437
429 123311.0 134049.0 125674.52 3136.1021235923017
430 123167.0 138421.0 125517.2 3225.580676405531
431 123167.0 134565.0 125564.05 3128.441821018733
432 123167.0 137066.0 125378.91 3236.1624900334605
